"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2500000,0.8,1825,0.263039969033944,0.262900327990775,0.263166634259761,0.258809407455556,0.268264191346674,720607.044,709137,734873,2640929.09,2638932,2642376,2739534.496,2737780,2741047,0,500
10000,0.95,1825,0.00845057918835862,0.00731052028110231,0.00971616055182274,9.03342366757001e-05,0.0685469149324571,92.6194968553459,1,751,10568.5157232704,10449,10690,10957.6100628931,10873,11070,318,318
20000,0.95,1825,0.00889066991488324,0.00789791586377916,0.0100548536435483,4.53802868034126e-05,0.0792124333439679,194.879271070615,1,1738,21139.5512528474,20956,21315,21916.7129840547,21767,22074,439,439
30000,0.95,1825,0.0117319070416422,0.0104716948602995,0.0131661289362464,3.03573054855651e-05,0.0829915854066041,385.688524590164,1,2732,31707.2643442623,31480,31899,32873.762295082,32699,33054,488,488
40000,0.95,1825,0.0193047744704447,0.0171580849359608,0.0212398336679889,2.28195883346264e-05,0.126346048549005,846.09696969697,1,5538,42276.1090909091,42044,42516,43830.9919191919,43617,44037,495,495
50000,0.95,1825,0.0280113690621781,0.0252931902455,0.0311142291043335,1.82238988209137e-05,0.160677421122824,1534.82530120482,1,8795,52845.6586345382,52579,53082,54791.4939759036,54558,55026,498,498
60000,0.95,1825,0.0440848514143403,0.0404136543918265,0.0480979429580362,3.04316732855556e-05,0.180415583625944,2898.46987951807,2,11869,63412.2148594378,63129,63729,65749.4116465863,65517,66011,485,498
70000,0.95,1825,0.0591936991324373,0.0543758960874496,0.063906022233826,0.00114906507886765,0.173797907589554,4540.594,88,13323,73979.446,73673,74241,76707.848,76437,76965,463,500
80000,0.95,1825,0.0823130413588483,0.077038337021983,0.087755245206324,0.00123099368545832,0.188813420248895,7216.14,108,16568,84543.092,84228,84864,87666.038,87398,87955,428,500
90000,0.95,1825,0.100481707966364,0.0952002997257391,0.105602344111751,3.03637578186676e-05,0.182905149381851,9910.216,3,18005,95108.032,94759,95451,98624.48,98300,98940,361,500
1e+05,0.95,1825,0.11210553075982,0.106455335938737,0.117375129524785,0.00109530024918081,0.183091262632256,12284.898,120,20056,105671.62,105328,106039,109582,109261,109901,310,500
150000,0.95,1825,0.162334295120224,0.159239925835431,0.165293463982904,0.00198326996197719,0.187114774426493,26683.496,326,30798,158493.792,158061,158937,164373.614,163994,164797,79,500
2e+05,0.95,1825,0.176963022012218,0.175688209425427,0.178124322580616,0.022903687758248,0.192343638162364,38784.35,5022,42190,211317.37,210813,211856,219165.36,218719,219633,20,500
250000,0.95,1825,0.180730230539953,0.179821777538811,0.181388420213056,0.0459612316208016,0.194379630542501,49512.268,12588,53233,264144.092,263591,264743,273956.616,273456,274468,3,500
3e+05,0.95,1825,0.183197217634549,0.182814931697428,0.18353039856828,0.139824671829817,0.192576203924624,60225.946,45984,63279,316972.51,316362,317606,328749.228,328198,329300,2,500
350000,0.95,1825,0.184416771967374,0.184105298585342,0.184711161646411,0.174804623837326,0.196674259562221,70731.36,67036,75376,369798.748,369146,370429,383540.744,382960,384170,0,500
4e+05,0.95,1825,0.185451733374977,0.18516929869822,0.185752882651891,0.177014829363097,0.194555821644429,81289.414,77601,85303,422624.646,421904,423326,438332.052,437682,438998,0,500
450000,0.95,1825,0.185973707195637,0.18571079709506,0.186238831277333,0.172035834121127,0.197108648708929,91708.068,84803,97213,475451.982,474709,476215,493124.118,492455,493820,0,500
5e+05,0.95,1825,0.186566219141964,0.186325007276289,0.186815611371294,0.177286310267482,0.194843243736595,102222.636,97060,106780,528279.812,527492,529080,547915.968,547219,548643,0,500
550000,0.95,1825,0.187150046104052,0.186881491156164,0.187412033824701,0.179744698072961,0.196869634458905,112796.882,108298,118674,581107.246,580301,581932,602708.114,601962,603493,0,500
6e+05,0.95,1825,0.187686369006795,0.187425446863585,0.187938195583601,0.177710779293011,0.195561829543588,123403.118,116944,128560,633931.734,633115,635046,657496.466,656829,658336,0,500
650000,0.95,1825,0.187941070885561,0.187682099786824,0.188214829732374,0.179667460833356,0.196416327457763,133867.446,127973,140080,686754.952,685859,687775,712284.35,711530,713196,0,500
7e+05,0.95,1825,0.188500349621331,0.188236197079287,0.188749442177892,0.181146510097291,0.197757938190047,144595.52,138991,151622,739589.404,738454,740611,767083.574,766053,767990,0,500
750000,0.95,1825,0.188982936497756,0.188753569244392,0.189230347788193,0.182241363779121,0.195704074695246,155319.426,149708,160912,792411.13,791529,793342,821870.27,821007,822762,0,500
